mr_id, mr_category, bug_types, test_method, results, duration_ms, failure_message
CONC-03-P,EQUIVALENCE,PRIVILEGE_LEAKAGE|CONSTRAINT_VIOLATION,CONC-03-P,FAIL,28520,assertion_failed
CONC-02-P,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-02-P,FAIL,11786,assertion_failed
CONC-05-P,EQUIVALENCE,PERMISSION_LOSS|CONSTRAINT_VIOLATION,CONC-05-P,FAIL,1862,assertion_failed
CONC-04-R1,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R1,FAIL,1207,assertion_failed
CONC-04-R2,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R2,FAIL,796,assertion_failed
CONC-04-R3,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R3,FAIL,905,assertion_failed
CONC-04-R4,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R4,FAIL,1040,assertion_failed
CONC-04-R5,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R5,FAIL,726,assertion_failed
CONC-01-P,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-01-P,FAIL,1726,assertion_failed
